1 1950.00000000000000000000000000000000000000000
2 3800.00000000000000000000000000000000000000000
3 5550.00000000000000000000000000000000000000000
4 7200.00000000000000000000000000000000000000000
5 8750.00000000000000000000000000000000000000000
6 10200.00000000000000000000000000000000000000000
7 11550.00000000000000000000000000000000000000000
8 12800.00000000000000000000000000000000000000000
9 13950.00000000000000000000000000000000000000000
10 15000.00000000000000000000000000000000000000000
11 15950.00000000000000000000000000000000000000000
12 16800.00000000000000000000000000000000000000000
13 17550.00000000000000000000000000000000000000000
14 18200.00000000000000000000000000000000000000000
15 18750.00000000000000000000000000000000000000000
16 19200.00000000000000000000000000000000000000000
17 19550.00000000000000000000000000000000000000000
18 19800.00000000000000000000000000000000000000000
19 19950.00000000000000000000000000000000000000000
20 20000.00000000000000000000000000000000000000000
21 19950.00000000000000000000000000000000000000000
22 19800.00000000000000000000000000000000000000000
23 19550.00000000000000000000000000000000000000000
24 19200.00000000000000000000000000000000000000000
25 18750.00000000000000000000000000000000000000000
26 18200.00000000000000000000000000000000000000000
27 17550.00000000000000000000000000000000000000000
28 16800.00000000000000000000000000000000000000000
29 15950.00000000000000000000000000000000000000000
30 15000.00000000000000000000000000000000000000000
31 13950.00000000000000000000000000000000000000000
32 12800.00000000000000000000000000000000000000000
33 11550.00000000000000000000000000000000000000000
34 10200.00000000000000000000000000000000000000000
35 8750.00000000000000000000000000000000000000000
36 7200.00000000000000000000000000000000000000000
37 5550.00000000000000000000000000000000000000000
38 3800.00000000000000000000000000000000000000000
39 1950.00000000000000000000000000000000000000000
40 0.00000000000000000000000000000000000000000
